,email,nombre
39,ayuvillarcayo@villarcayo.org,Centro Cultural Caja de Burgos
40,biblioteca@villanubla.gob.es,Casa de Cultura
41,coordinacultura@guijuelo.es,Centro Cultural
42,covarrubias@diputaciondeburgos.net,Sala Valle del Arlanza
43,cultura@alaejos.gob.es,Teatro Municipal
44,cultura@ampudia.es,Sala de Cultura Municipal
45,cultura@aytotudela.es,Auditorio Municipal de Tudela de Duero
46,cultura@boecillo.es,Centro Cívico Municipal de Boecillo
47,cultura@carriondeloscondes.es,Rosa María
48,cultura@sanestebandegormaz.org,Salón de Actos Antiguas Escuelas
49,cultura@simancas.gob.es,"Centro Cultural ""La Vaguada"""
50,cultura@valledemena.es,"Teatro Municipal Sala ""Amania"" de Villasana de Mena"
51,cultura@villamurieldecerrato.es,"Teatro ""Jesús Meneses"""
52,culturasantovenia@gmail.com,Auditorio del Centro Cívico
53,culturavillanuevadeduero@hotmail.com,"Casa de la Cultura ""El Corralón"""
54,culturaydeportesportillo@gmail.com,"Cine ""Álvaro de Luna"""
55,cultura@ayto-medinadelcampo.es,Auditorio Municipal
56,gestion03@aytofabero.com,Auditorio Casa de Cultura
57,gestor.cultural@aytocuellar.es,Sala Cultural “Alfonsa de la Torre”
58,hoyodepinares@gmail.com,C.M. Antiguas Escuelas
59,info@aytocarrizodelaribera.es,Salón de Actos de la Casa de Cultura
60,informacion@teatrojuanbravo.org,Teatro Juan Bravo
61,lerma@diputaciondeburgos.net,"Espacio Escénico ""La Piedad"""
62,palcalde@aytopalencia.es,PILAR
63,registro@burgosma.es,"Teatro ""San Agustín"""
64,teatro@ponferrada.org,Teatro Municipal Bergidum de Ponferrada
65,teatrocigales@gmail.com,Casa de Cultura
66,carmenlucaspicazo@hotmail.com,Teatro Cine Sanchiz
67,ccultura.alpera@dipualba.es,Ayto. Alpera
68,cristinaculturafuentealbilla@gmail.com,Auditorio Municipal
69,granteatro@manzanares.es,GRAN TEATRO
70,jacintacolladoolmo@gmail.com,Salón Multidisciplinar
71,musica@quintanardelrey.es,casa de cultura
72,ped2226@gmail.com,Ayto. Villarrubia de los Ojos
73,ragomez@villanuevadelatorre.es,Ayto. Villanueva de la Torre
74,ayuntamiento@aytoherrerias.es,HERRERIAS
75,biblioteca@aytoargonos.org,ARGOÑOS
76,biblioteca@villaescusa.es,VILLAESCUSA
77,c.educacion@loscorralesdebuelna.es,LOS CORRALES DE BUELNA
78,centroculturalmolledo@gmail.com,MOLLEDO
79,culturaydeporte@sanvicentedelabarquera.es,SAN VICENTE DE LA BARQUERA
80,direccioncultura@aytocamargo.es,CAMARGO
81,evacotera@hotmail.com,POTES
82,p.gonzalezanievas@gmail.com,ANIEVAS
83,a.salgado@calaixdecultura.cat,"Calaix de Cultura, SL"
84,acruells@vilanova.cat,Ajuntament de Vilanova i la Geltrú. Regidoria de Cultura
85,agibert@lloret.cat,Teatre de Lloret
86,ainap@ccparcsandaru.cat,Centre Cívic Parc Sandaru
87,ajuntament@alcano.ddl.net,Ajuntament d'Alcanó
88,aldap@ccparcsandaru.cat,Centre Cívic Parc Sandaru
89,alexmedrano@sjdespi.net,Ajuntament Sant Joan Despí
90,antarescultura@gmail.com,Marta Guiu - La Saleta
91,artsesceniques@olot.cat,TPO
92,betiespanyol@ametlla.cat,Ajuntament L'Ametlla del Vallès
93,capdevilacq@argentona.cat,Ajuntament Argentona - Festival Sense Portes
94,carolina.tejon@ccsagradafamilia.net,Centre Cívic Sagrada Família
95,cciporqueres@gmail.com,Ajuntament de Porqueres
96,chaveslj@argentona.cat,Ajuntament Argentona - Festival Sense Portes
97,ciencia@vilaurania.net,Trànsit Projectes. Vil·la Urània
98,cirvianum@ajtorello.cat,Teatre Cirvianum - Ajuntament de Torelló
99,comunicacio@ateneu9b.net,Ateneu Popular 9 barris
100,coordinacio@ccalbareda.cat,Centre Cultural Albareda
101,coordinacio@fortpienc.org,Centre Cívic Ateneu Fort Pienc
102,corbalancc@vilassardedalt.cat,Ajuntament Vilassar de Dalt
103,creig@tarragona.cat,Ajuntament Tarragona - Àrea de Cultura
104,cultura@alcarras.cat,Ajuntament d' Alcarràs
105,cultura@cardedeu.cat,Ajuntament de Cardedeu
106,daphmalherbe@gmail.com,El Garitu
107,delacruznieto@gmail.com,Associació Toc d'espectacles El Galliner
108,difusio@casaelizalde.com,"Calaix de Cultura, SL"
109,difusio@sedeta.cat,Centre Cívic La Sedeta
110,dinamitzacio@casadelrellotge.net,Centre Cívic Casa del Rellotge / Sala Pepita Casanellas / Sala Maremar
111,direccio@casaelizalde.com,"Calaix de Cultura, SL"
112,direccio@ccalbareda.cat,Centre Cultural Albareda
113,direccio@sedeta.cat,Centre Cívic La Sedeta
114,direccio@vilaurania.net,Trànsit Projectes. Vil·la Urània
115,distribucio@salaflyhard.com,Elisenda
116,dramos@santboi.cat,Ajuntament de Sant Boi de Llobregat
117,ebertran@vilafranca.org,Ajuntament de Vilafranca del Penedès
118,eduard.garcia@secretariat.cat,"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta"
119,eduardo.jimenez@ccsagradafamilia.net,Centre Cívic Sagrada Família
120,elena.carmona@ajgirona.cat,Teatre municipal de Girona
121,felipecabezas@salafenix.com,Sala Fènix
122,fenix@salafenix.com,Sala Fènix
123,geeniisfoont4@gmail.com,Ajuntament Vilanova de Bellpuig
124,gestio@canclariana.cat,Centre Cívic Can Clariana Cultural
125,gm@suikapro.com,Gabriela
126,guada@labadabadoc-teatro.com,La Badabadoc - ON EL TEATRE BATEGA
127,ifbarcelona.info@gmail.com,IF BARCELONA
128,info@bipolart.org,Associació Bipol.art
129,info@entitatslamarina.org,Centre Cívic Casa del Rellotge / Sala Pepita Casanellas / Sala Maremar
130,jatorradob@sjdespi.net,Ajuntament Sant Joan Despí
131,jimenezca@diba.cat,Ajuntament de Sant Hipolit de Voltregà
132,jmorros1@xtec.cat,Associació Toc d'espectacles El Galliner
133,joan.closas@gmail.com,Associació Toc d'espectacles El Galliner
134,jpunti@ajsabadell.cat,"Estruch, fàbrica de creació Ajuntament de Sabadell"
135,lab@labcreatiu.cat,Anna Nieto Alvarez
136,lasullivan@lasullivan.org,La Sullivan
137,laurarodhue@gmail.com,Ajuntament de L'Hospitalet
138,lgene@paeria.cat,Teatre Municipal de l'Escorxador
139,lidia@fastemporda.cat,Festival FASTT
140,lllamazares@teatreauditori.granollers.cat,Teatre Auditori de Granollers
141,lrodriguez@l-h.cat,Summer Experience
142,mariaaamoros@gmail.com,Ajuntament Vilanova de Bellpuig
143,marina.miguel.ruiz@gmail.com,Associació Bipol.art
144,mcarta92@gmail.com,La Temporada d'Arts en Viu Lleida
145,mireiaayguade@gmail.com,Ajuntament Vilanova de Bellpuig
146,molmo@auditori.cat,L' Auditori de Barcelona
147,musicacastellsera@gmail.com,Ajuntament de Castellserà
148,nhernandez@ajlagarriga.cat,Ajuntament de la Garriga
149,oscar@sat-teatre.cat,SAT! Sant Andreu Teatre
150,paula.meifer@gmail.com,Ajuntament de Porqueres
151,pep.valles.san@gmail.com,Societat La Lliga
152,programacio@ccurgell.cat,Centre Cívic Urgell
153,programaciocultural@ccsagradafamilia.net,Centre Cívic Sagrada Família
154,rafa68rodriguez@gmail.com,AJUNTAMENT DE BALSARENY
155,rebecca@fastemporda.cat,Festival FASTT
156,recursos@ateneu9b.net,Ateneu Popular 9 barris
157,reg.festes.anglesola@gmail.com,Ajuntament Anglesola
158,rossellf@aj-igualada.net,Teatre Municipal l'Ateneu. Ajuntament d'Igualada
159,santalolj@ametlla.cat,Ajuntament L'Ametlla del Vallès
160,suport.auditorisantmarti@gmail.com,Auditori de Sant Martí
161,treyes@mercatflors.cat,Mercat de les Flors
162,tsires@teatreauditori.granollers.cat,Teatre Auditori de Granollers
163,xgotanegra@ajlagarriga.cat,Ajuntament de la Garriga
164,abengoetxea@kulturaz.eus,SOREASU ANTZOKIA
165,accioncultural@sestao.eus,SALÓN DE ACTOS DE LA ESC. DE MÚSICA
166,programazioa@getxo.eus,GETXOKO ANTZOKIA
167,kultura.ur@urretxu.eus,LABEAGA ANTZOKIA
168,kultura@beasain.eus,USURBE UDAL ANTZOKIA
169,kultura@bermeo.eus,NESTOR BASTERRETXEA ARETOA
170,kultura@berriz.eus,BERRIZEKO KULTURA ETXEA
171,kultura@eibar.eus,COLISEO
172,kultura@hondarribia.eus,ITSAS ETXEA AUDITORIUM
173,kultura@sopela.eus,KURTZIO KULTUR ETXEA-AUDITORIUM
174,kultura@zalla.org,ZALLA ZINE - ANTZOKIA
175,plopez@udalermua.net,ERMUA ANTZOKIA
176,sanagustin@durango.eus,SAN AGUSTIN KULTURGUNEA
177,alberto@montehermoso.es,Auditorio
178,aytomonterrubiodelaserena@gmail.com,Ayuntamiento
179,casacultura@monesterio.es,Ayuntamiento
180,ccultura@azuaga.badajoz.es,Teatro Capitol
181,cultura@alconchel.es,Ayuntamiento
182,cultura@merida.es,Teatro Romano
183,cultura@trujillo.es,Palacio Juan Pizarro de Aragón
184,david.gallego@villanuevadelfresno.es,Ayuntamiento
185,dcr.concejal@almendralejo.es,Domingo
186,del.cultura@donbenito.es,Teatro Imperial
187,desarrollotecnologico@herreradelduque.es,Palacio de la Cultura
188,esperanza.vega@fregenaldelasierra.es,Cine Municipal Nertobriga
189,gestioncultural@hervas.es,Ayuntamiento
190,jenifer.hernandez@fuenlabradadelosmontes.es,unknown
191,jrodriguez@navalvillardepela.es,Ayuntamiento
192,macarenamoraleja1982@gmail.com,Casa de la Cultura
193,mariadelmar.hernandez@olivadelafrontera.es,Ayuntamiento
194,registro@talayuela.es,Ayuntamiento
195,silvia.cinta@berlanga.es,Ayuntamiento
196,unipopular@lahaba.es,Casa de Cultura
197,up@cabezadelbuey.es,Centro Cultural La Merced
198,administracion.ic@pontevedra.eu,Pazo da Cultura
199,ani.fernandez@tomino.gal,Auditorio Municipal de Goián
200,david.pastoriza@muros.gal,Centro Cultural e Xuvenil
201,departamentocultura@ponteareas.gal,Auditorio Reveriano Soutullo
202,forum@coruna.es,Fórum Metropolitano
203,infocarballo@carballo.gal,Pazo da Cultura
204,jesus.moure@vigo.org,Auditorio Municipal
205,l.fernandez@naron.gal,Auditorio Municipal
206,malfaya@culturatui.info,Teatro Municipal
207,mlopez@concellodeortigueira.com,Teatro da Beneficiencia
208,nieves.lema@vimianzo.gal,Auditorio Casa da Cultura
209,oficina.teatro@depourense.es,Teatro Principal
210,salagurugu@gmail.com,Sala Gurugú
211,sonia.iglesias@arteixo.org,Auditorio do Centro Cívico Cultural
212,teatrodelandamio@gmail.com,Teatro del Andamio
213,x.rodriguez@coruna.es,Teatro Rosalía de Castro
214,auditorio.guadalupe@ayto-murcia.es,Auditorio de Guadalupe (Espacio A)
215,cultura@ayto-alcantarilla.es,Centro Cultural Infanta Elena (Espacio B)
216,cultura@cieza.es,Teatro Capitol (Espacio A)
217,teatrocervantes@abaran.es,Teatro Cervantes (Espacio B)
218,teatroguerra@yahoo.es,Teatro Guerra (Espacio A)
219,casacultura@corella.es,Corella
220,ccfraydiego@estella-lizarra.com,Estella / Lizarra
221,cultura@ansoain.es,Ansoáin / Antsoain
222,cultura@aoiz.es,Aoiz / Agoitz
223,cultura@aranguren.es,Aranguren (Mutilva)
224,cultura@berrioplano.es,Berrioplano
225,cultura@berriozar.es,Berriozar
226,cultura@burlada.es,Burlada / Burlata
227,cultura@castejon.com,Castejón
228,cultura@huarte.es,Huarte
229,cultura@lodosa.es,Lodosa
230,cultura@losarcos.es,Los Arcos
231,cultura@sanguesa.es,Sangüesa / Zangoza
232,cultura@tafalla.es,Tafalla
233,culturaydeporte@valtierra.es,Valtierra
234,deportes@ribaforada.es,Ribaforada
235,kultura@altsasu.net,Altsasu / Alsasua
236,kultura@bera.eus,Bera
237,kultura@etxarriaranatz.eus,Etxarri-Aranatz
238,kultura@leitza.eus,Leiza / Leitza
239,kultura@lesaka.eus,Lesaka
240,kultura@olazti.com,Olazti / Olazagutía
241,kulturetxea@irurtzun.eus,Irurtzun
242,mperez@beriain.es,Beriáin
243,tecnicocultura@villava.es,Villava / Atarrabia
244,tudelacultura@tudela.es,Tudela
245,turismoycultura@viana.es,Viana
246,achaler@vinaros.es,"Auditori Municipal ""Wenceslao Ayguals d'Izco"""
247,antonimartinez@ayto-xativa.es,Gran Teatre de Xàtiva
248,aodl@benlloch.es,Auditori Municipal
249,casacultura@casacultura.net,Casa de Cultura
250,ccultural@alcasser.es,Centre Cultural
251,ccv@ibi.es,Teatro Rio / Centre Cultural Salvador Miró
252,cristina.rodrigo@imcjb.net,Centre Cultural Tívoli
253,cultura@carcaixent.es,Teatre D. Enrique
254,cultura@massamagrell.es,Teatre del Centre Cultural
255,cultura@tavernes.org,Auditori Casa de la Cultura
256,fmc@aytosagunto.es,Casa Municipal de Cultura. Port de Sagunt
257,guardamarcasadecultura@yahoo.es,Casa de Cultura
258,joseemilio.sancho@canals.es,"Centre Cultural ""Papa Calixte III"""
259,mar.llinares@villajoyosa.com,Teatre Auditori La Vila Joiosa
260,musica@altea.es,Palau Altea / Plaça de l'Aigua
261,pacoflor@villena.es,Teatro Chapí
262,teatre@benicassim.org,Teatre Municipal de Benicàssim
263,valesa@uji.es,Antoni
264,vsanfran@xirivella.es,Teatre Auditori Municipal
265,xalos@picanya.org,Centre Cultural
266,ximivives@ondara.org,"Auditori Municipal ""Valerià Gil"""
267,carlotom9@hotmail.com,Carlota
268,sbonilla@dgira.es,Sandra
269,info@lorenzopap.art,Lorenzo
270,esparciapinar@gmail.com,Elena
271,somoslaperateatro@gmail.com,Marina
272,tefunio@yahoo.es,Antonio
273,direccion.artistica@madferia.com,Maria
274,evaristo@flexionproducciones.com,Evaristo
275,lorenzopap@ciudadespatrimonio.org,Escena Patrimonio
276,mtroguet@gmail.com,Margarida
277,perezpabloalonso@gmail.com,Pablo
278,gerencia@redescena.net,Elvira
279,antonio.revez@gmail.com,FITA
280,coordinacion@cuartapared.es,Cuarta Pared
281,info@lanavedelduende.com,David
282,programacion@atalaya-tnt.com,Victoria
283,yomeexperimento@gmail.com,Marisa
284,m.marquez@paracuellosdejarama.es,unknown
285,pgarcia@alalpardo.org,unknown
286,v.gonzalez@paracuellosdejarama.es,unknown
287,javier.casado@ayto-medinadelcampo.es,Javier
288,gerencia@teatredesborn.com,Josep
289,festivalteresetesmallorca@gmail.com,Aina
290,ligaluppi@gmail.com,unknown
291,rosorio@teatromayor.org,unknown
292,esosanyc@gmail.com,unknown
293,nick@thealmanac.us,unknown
294,fundacioncasadeteatro@gmail.com,unknown
295,nkaterinopoulos@pen.org,unknown
296,thobimaphanga@gmail.com,unknown
297,rsbhagwanbali@gmail.com,unknown
298,enoma.amayo@gmail.com,unknown
299,nsaid@idft.al,unknown
300,jarmo.penttila3@gmail.com,unknown
301,bsitja@gmail.com,unknown
302,iurre@haatik.com,unknown
303,julioperugorria@gmail.com,unknown
304,pepeiglesias@asuntosculturales.es,Pepe
305,mimdireccio@gmail.com,unknown
306,direccionartistica@clasicosenalcala.net,unknown
307,carlavalles@santiagooff.com,unknown
308,enrique@encarofactory.com,unknown
309,singularteatro@gmail.com,Javier
310,comisariado@mercartes.es,unknown
311,lolesperis@gmail.com,unknown
312,alejandro@sala-negra.com,unknown
313,festivalclacon@gmail.com,unknown
314,tauntaunteatro@gmail.com,unknown
315,igntamagno@gmail.com,unknown
316,isabel.perez.i@juntadeandalucia.es,unknown
317,carmen.martinez.guerra@gmail.com,unknown
318,fcasadesus@teatrelliure.com,unknown
319,teatrobreton@logrono.es,unknown
320,kulturakreaktiboa@errenteria.eus,unknown
321,nuria.perez@sopela.eus,unknown
322,direccion@teatrogayarre.com,unknown
323,recsac@unileon.es,Miguel Ángel
324,international@nidplatform.it,unknown
325,janus@landestheater-linz.at,unknown
326,walter.heun@jointadventures.net,unknown
327,artisticdirection@fringify.hamburg,unknown
328,tim.behren@circus-dance-festival.de,unknown
329,lahincapiecharry@gmail.com,unknown
330,ilonagoyeneche@gmail.com,unknown
331,festivalaerosario@gmail.com,unknown
332,roalgonal@gmail.com,unknown
333,jzabarain@gmail.com,unknown
334,anamari@nafa-tsv.com.au,unknown
335,sickinternet427@gmail.com,unknown
